מספר חלצ,תאריך רישום חלצ,שם חלצ בעברית,שם חלצ באנגלית,סטטוס חלצ,מטרות ארגון רשמיות,סיווג פעילות ענפי,תחום פעילות,שנת דיווח דוח כספי אחרון,מחזור - נתונים מדוח מילולי מקוון,מתנדבים- נתונים מדוח מילולי מקוון,עובדים- נתונים מדוח מילולי מקוון,איזורי פעילות,מקומות פעילות,תאריך עדכון אחרון של נתוני חלצ,כתובת - ישוב,כתובת - רחוב,כתובת - מספר דירה,כתובת - מיקוד,מען - ישוב,מען - רחוב,מען - מספר דירה,מען - מיקוד,מען - מיקוד תיבת דואר,מען - תיבת דואר,תאריך התחלה תוקף מטרות עמותה,תאריך ביקורת עומק אחרונה,Column1
513476523,27/12/2012,אלפורקאן אל אהליה בע~מ (חל~צ),,פעילה,לעסוק בכל עיסוק חוקי,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",2021,846499,0,10,מרכז,,20/12/2022,זמר,אבתאן,1,3882800,זמר,,,3882800,3565,3565,,,
513486399,,יד טאלנא  (חל~צ),,פעילה,לעסוק בכל עיסוק חוקי,דת,אחר - דת,2022,1064200,0,4,מרכז,,20/12/2022,אשדוד,רשב~י,10,7765030,,,,0,0,0,,,
513535484,27/12/2012,מואססת אל סנאבל בע~מ (חל~צ),,פעילה,לעסוק בכל עיסוק חוקי,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",2021,856814,0,9,מרכז,,20/12/2022,טמרה,טמרה,1,3081100,,,,0,0,0,,,
513494054,29/11/2012,קרן הדרים בע~מ (חל~צ),HADARIM FUND LTD (CC),פעילה,לעסוק בכל עיסוק חוקי,"חינוך, השכלה והכשרה מקצועית",הכשרה ותעסוקה,2022,2247765,0,0,דרום,,20/12/2022,תל אביב - יפו,ארלוזורוב,93,6209801,,,,0,0,0,,,
513565929,11/02/2013,תיפארת עם ישראל בע~מ (חל~צ),,פעילה,לעסוק בכל עיסוק חוקי,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",2021,6777660,0,92,מרכז,,20/12/2022,ירושלים,הפסגה,5,9646505,,,,0,0,0,,27/12/2021,
513577692,,קרן סחלב בע~מ,,פעילה,לעסוק בכל עיסוק חוקי,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",,,,,,,20/12/2022,ראשון לציון,טוליפמן,7,0,,,,0,0,0,,,
513598102,04/03/2013,עולם חסד יבנה בע~מ (חל~צ),,פעילה,לעסוק בכל עיסוק חוקי,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",,,,,,,20/12/2022,רמת גן,(בן גוריון) דרך מודיעין ,20,0,,,,0,0,0,,,
513700054,26/11/2012,ישתבח - חיוך של ילד בע~מ (חל~צ),,פעילה,לעסוק בכל עיסוק חוקי,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",2022,1184801,0,22,מרכז,,20/12/2022,אשדוד,עקביא בן מהללאל,8,7765235,,,,0,0,0,,,
513731240,11/02/2013,מכון פעימות בע~מ (חל~צ),,פעילה,לעסוק בכל עיסוק חוקי,שירותי רווחה,אחר - שירותי רווחה,,,,,,,20/12/2022,אשדוד,הארי הקדוש,13,0,,,,0,0,0,,,
513757955,03/03/2013,אמרי נעם בע~מ (חל~צ),,פעילה,לעסוק בכל עיסוק חוקי,דת,אחר - דת,2022,11060218,4,2,מרכז,,20/12/2022,בני ברק,הרב עוזיאל,35,5164347,,,,0,0,0,,,
513817650,26/12/2012,אי.סי.סי סניף ישראל בע~מ (חל~צ),A.C.C ISRAEL CHAPTER LTD (CC),פעילה,לעסוק בכל עיסוק חוקי,"חינוך, השכלה והכשרה מקצועית",הכשרה ותעסוקה,2021,536000,28,1,דרום,,31/05/2023,תל אביב - יפו,המסגר,32,6721118,,,,0,0,0,,,
513870261,14/02/2013,הדדי - המרכז למתמודדת עם סרטן שד בע~מ (חל~צ),HADADI - THE CENTER FOR THE BREAST CANCER SURVIVOR LTD (CC),פעילה,לעסוק בכל עיסוק חוקי,קהילה וחברה,אחר - קהילה וחברה,,,,,,,20/12/2022,ירושלים,רבנו פוליטי,12,9330005,,,,0,0,0,,,
513591222,04/12/2012,המסלול האקדמי המכללה למינהל מיסודה של הסתדרות הפקידים בתל אביב חברה לתועלת הציבור בע~מ (חל~צ),,פעילה,לעסוק בכל עיסוק חוקי למעט בסוגי עסקים שפורטו בתקנון,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",2022,253972000,0,985,דרום,,20/12/2022,ראשון לציון,שד יצחק רבין,7,7549071,,,,0,0,0,,15/11/2022,
513592915,05/03/2013,מעיין השלום בע~מ (חל~צ),,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",2022,21680096,0,190,צפון,,20/12/2022,רהט,קניון רהט ,49,8535700,,,,0,0,0,,,
513594358,,מואססת ואעד ללתנמיה אלאג'תימאעיה בע~מ (חל~צ),,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",,,,,,,20/12/2022,כפר קאסם,,0,4881000,כפר קאסם,,,0,3603,3603,,,
513595991,14/02/2013,אינדימאג' חינוך בערים מעורבות בע~מ (חל~צ),INDIMAGE EDUCATION IN MIXED CITIES  LTD (CC),פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",,,,,,,16/01/2023,חדרה,בוטקובסקי,30,3840130,,,,0,0,0,,,
513596155,28/05/2015,החברה לפיתוח בית חנינא - שועפט בע~מ (חל~צ),THE BEIT HANINA - SHUAFAT DEVELOPMENT COMPANY LTD (CC),פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,קהילה וחברה,פעילות חברתית,,,,,,,20/12/2022,ירושלים,שועפאט,0,9730000,,,,0,0,0,,,
513581561,14/02/2013,מועדון כדורסל בנות רעננה הרצליה בע~מ (חל~צ),,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,ספורט,אחר - ספורט,,,,,,,20/12/2022,רעננה,מכבי,50,4325435,,,,0,0,0,,27/12/2021,
513590455,03/06/2015,אלטאלב בע~מ (חל~צ),ALTALEB LTD (CC),פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,קהילה וחברה,אחר - קהילה וחברה,,,,,,,20/12/2022,אום אל-פחם,,0,3001000,אום אל-פחם,,,0,6161,6161,,,
513590463,12/02/2013,מוסדות סטריקוב בע~מ (חל~צ),,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",2021,2204068,0,2,דרום,,20/12/2022,בני ברק,מצדה,7,5126112,,,,0,0,0,,,
513590844,12/02/2013,דרומה צפונה - תיקון עולם בע~מ (חל~צ),DAROMA TZAFON TIKKUN OLAM LTD (CC),פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",2022,43216000,0,218,דרום,,20/12/2022,ירושלים,המלך ג'ורג',48,9426218,,,,0,0,0,,27/12/2021,
513493759,16/10/2017,מורשת יעקב לחינוך ולעזרה בע~מ (חל~צ),,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",,,,,,,20/12/2022,בני ברק,אלישע,35,0,בני ברק,,,0,2078,2078,,,
513564724,,שוברים שתיקה בע~מ (חל~צ),BREAKING THE SILENCE LTD (PBC),פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,קהילה וחברה,אחר - קהילה וחברה,2022,11792338,0,43,דרום,,20/12/2022,תל אביב - יפו,יד חרוצים,12,6770005,תל אביב - יפו,,,6713206,51027,51027,,27/12/2021,
513568998,17/04/2012,משעולי חינוך - חברה לניהול חינוכי בע~מ (חל~צ),MISHOLEI CHINUCH - EDUCATIONAL MANAGEMENT LTD (CC),פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",2022,35093000,35,148,תל אביב,,20/12/2022,קריית טבעון,השקדים,111,3650153,,,,0,0,0,,27/12/2021,
513569210,12/03/2013,מסע: פרויקט לעידוד תוכניות ארוכות בישראל לצעירי העם היהודי בע~מ (חל~צ),MASA: THE PROJECT FOR THE ENCOURAGEMENT OF LONG TERM PROGRAMS IN ISRAEL FOR JEWISH YOUNG ADULTS LTD ,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,קהילה וחברה,אחר - קהילה וחברה,2022,189494000,0,62,ירושלים,,20/12/2022,ירושלים,העסקן,3,9378010,,,,0,0,0,,,
513573139,,קרן נשים למען זכויות אדם בע~מ (חל~צ),WOMEN'S FUND FOR HUMAN RIGHTS LTD (CC),פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,קהילה וחברה,אחר - קהילה וחברה,2022,639462,50,3,צפון,,20/12/2022,הרצליה,בזל,22,4666022,,,,0,0,0,,,
513574350,27/07/2014,בני יהודה מחלקת הנוער החדשה (2004) בע~מ (חל~צ),,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,ספורט,אחר - ספורט,2022,1437000,0,55,צפון,,04/07/2023,תל אביב - יפו,כביר,20,6775054,,,,0,0,0,,,
513495291,,~חירם~ מרכז שיקומי בהרדוף בע~מ (חל~צ),,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,שירותי רווחה,אחר - שירותי רווחה,2022,15397000,0,103,מרכז,,20/12/2022,הרדוף,,1,1793000,,,,0,0,0,,27/12/2021,
513563643,18/05/2017,ז.ח.א. זיהוי חללים ארצי חסד ואמת בע~מ (חל~צ),,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,שירותי רווחה,אחר - שירותי רווחה,,,,,,,20/12/2022,בני ברק,עמוס,8,5136617,בני ברק,,,5113101,3216,3216,,,
513499533,04/03/2013,המרכז הארצי למען הזולת בע~מ (חל~צ),,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,קהילה וחברה,אחר - קהילה וחברה,2021,1520810,2,0,צפון,,20/12/2022,אלעד,רבי יהודה הנשיא,69,4080000,אלעד,,,4081001,46,46,,,
513503367,24/09/2015,אוהלי תפארת (חל~צ),,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,שירותי רווחה,אחר - שירותי רווחה,,0,0,0,מרכז,,20/12/2022,ביתר עילית,חת~ם סופר,9,9050000,,,,0,0,0,,,
513506428,02/04/2013,המכון להשתלמות עורכי דין של לשכת עורכי הדין בישראל- חברה לתועלת הציבור בע~מ (חל~צ),THE INSTITUTE OF CONTINUING LEGAL STUDIES OF THE ISRAEL BAR ASSOCIATION - PUBLIC PURPOSE COMPANY LTD,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,"חינוך, השכלה והכשרה מקצועית",השכלה גבוהה,,,,,,,20/12/2022,תל אביב - יפו,דרך בגין,82,6713829,,,,0,0,0,,,
513514042,12/02/2013,מואססת אסלאח מסגד אלהדאיה - אלג'משה מג'אר בע~מ (חל~צ),,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,דת,ארגון דת מוסלמי,,,,,,,20/12/2022,מגאר,כפר,,14930,מגאר,כפר,,14930,711,711,,,
513541573,,הפרויקט הלאומי לקהילה האתיופית בישראל בע~מ (חל~צ),THE NATIONAL PROJECT FOR THE ETHIOPIAN COMMUNITY IN ISRAEL LTD (PBC),פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,קהילה וחברה,אחר - קהילה וחברה,2022,12723972,14,13,דרום,,20/12/2022,לוד,המלאכה,6,0,,,,0,0,0,,27/12/2021,
513542654,13/03/2013,החברה לפיתוח התנועה ליהדות מתקדמת בתל-אביב-יפו בע~מ (חל~צ),,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,דת,אחר - דת,2022,0,13,0,מרכז,,20/12/2022,תל אביב - יפו,בני דן,62,6230501,,,,0,0,0,,,
513543413,,ריחאנה בע~מ (חל~צ),,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",2022,1789399,0,20,צפון,,20/12/2022,ירושלים,שועפאט,471,0,,,,0,0,0,,,
513544494,11/02/2013,"חוש~ן - חינוך ושינוי, חברה לתועלת הציבור בע~מ (חל~צ)",,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,קהילה וחברה,אחר - קהילה וחברה,2022,2929323,150,9,דרום,,20/12/2022,תל אביב - יפו,סעדיה גאון,11,61230,תל אביב - יפו,,,6123001,23038,23038,,,
513544650,19/02/2013,מעלה צביה - מערכות חינוך ותרבות בע~מ (חל~צ),,פעילה,לעסוק בסוגי עיסוק שפורטו בתקנון,"חינוך, השכלה והכשרה מקצועית","אחר - חינוך, השכלה והכשרה מקצועית",2022,3354384,200,53,מרכז,,20/12/2022,צביה,האלון               ,1,2012900,,,,0,0,0,,,
